6.4432,50.9155
8.1158,42.9626
3.5073,27.3704
8.7594,50.5774
6.2248,31.7380
2.0774,10.0634
4.7092,43.5320
8.4431,31.1220
2.2592,19.3899
2.2766,13.6945
3.1110,14.9160
4.3021,29.8112
9.0488,52.5188
4.3887,42.2733
2.5806,31.3369
5.9490,20.4239
6.0284,35.1676
2.2175,36.4109
2.9668,29.8861
4.2417,38.8327
3.7861,29.9852
5.3283,24.7445
9.3900,51.1350
5.5016,30.5206
5.8704,49.6374
3.0125,38.0517
2.3049,33.2198
1.9476,16.2934
1.7071,28.4807
4.3570,36.9220
9.2338,51.2371
1.8482,32.0336
9.7975,61.6658
1.1112,16.5052
4.0872,19.9475
2.6221,32.6062
7.1122,38.2211
1.1742,25.0108
3.1878,37.9213
5.0786,34.4707
